pi_number , temperature in celcius, humidity percentage, date time
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:41:24 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 14:41:29 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:41:45 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:41:50 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:41:56 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:01 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 14:42:10 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:18 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:23 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:29 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:37 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:42 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:42:48 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:42:56 2015
1,19.299999237060547,60.099998474121094,Tue Aug 11 14:43:02 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:07 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:13 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:18 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:26 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:32 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:37 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:51 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:43:59 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:04 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:10 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:44:18 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:44:23 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:44:32 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:40 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:45 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:51 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:44:56 2015
1,19.299999237060547,60.20000076293945,Tue Aug 11 14:45:02 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:45:12 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:45:18 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:45:24 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:45:32 2015
1,19.200000762939453,60.20000076293945,Tue Aug 11 14:45:37 2015
1,19.200000762939453,60.20000076293945,Tue Aug 11 14:45:45 2015
1,19.200000762939453,60.20000076293945,Tue Aug 11 14:45:51 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:45:56 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:02 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:08 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:13 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:21 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:34 2015
1,19.299999237060547,60.29999923706055,Tue Aug 11 14:46:40 2015
1,19.299999237060547,60.5,Tue Aug 11 14:46:48 2015
1,19.299999237060547,60.5,Tue Aug 11 14:46:58 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:09 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:15 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:20 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:26 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:31 2015
1,19.299999237060547,60.5,Tue Aug 11 14:47:37 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:47:42 2015
1,19.299999237060547,60.400001525878906,Tue Aug 11 14:47:48 2015
1,19.399999618530273,60.5,Tue Aug 11 14:47:56 2015
1,19.299999237060547,60.5,Tue Aug 11 14:48:02 2015
1,19.299999237060547,60.5,Tue Aug 11 14:48:10 2015
1,19.299999237060547,60.5,Tue Aug 11 14:48:15 2015
1,19.299999237060547,60.5,Tue Aug 11 14:48:21 2015
1,19.399999618530273,60.5,Tue Aug 11 14:48:26 2015
1,19.399999618530273,60.5,Tue Aug 11 14:48:32 2015
1,19.299999237060547,60.599998474121094,Tue Aug 11 14:48:38 2015
1,19.399999618530273,60.599998474121094,Tue Aug 11 14:48:43 2015
1,19.399999618530273,60.5,Tue Aug 11 14:48:49 2015
1,19.399999618530273,60.5,Tue Aug 11 14:48:54 2015
1,19.399999618530273,60.5,Tue Aug 11 14:49:02 2015
1,19.399999618530273,60.5,Tue Aug 11 14:49:08 2015
1,19.399999618530273,60.5,Tue Aug 11 14:49:13 2015
1,19.399999618530273,60.5,Tue Aug 11 14:49:19 2015
1,19.399999618530273,60.5,Tue Aug 11 14:49:25 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:49:35 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:49:43 2015
1,19.399999618530273,60.29999923706055,Tue Aug 11 14:49:51 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:49:57 2015
1,19.399999618530273,60.400001525878906,Tue Aug 11 14:50:02 2015
